id_komentar,produk_url,username,rating,ulasan,nama_produk,jumlah_kata,panjang_karakter,label_sentimen
80408477470,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"Produk: Barang rusak | Sorry to say, perdana gue beli forebie satuan gini, malah dpt packaging cacat :( biasa beli paketan lgsg 3, tp mau rutinin pake forebie dng abisin per pcs dan nyetok dia krna yg cepet abis ya serum moist nya krna gue pake totolan juga klo lg ada jerawat. Yg bikin nyesek produknya ampe tumpah😓 giliran isinya udh mau abis dan coba buka malah gabisa, eh ini yg baru malah begitu tutupnya mau dibuka, kebuka sama pumpnya. Mau pengembalian dana pun udh lewat lama bgt dan kesalahan gue jg sih ga merhatiin lg saking percayanya :(",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,99,549,Negatif
16989422782,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"pertama kali make forebie beruntusan&jerawat mulai gada lagi nih, tapi pemakaian 2minggu mulai purging, sempet better tapi engga lama, setelah itu aku mutusin oh mungkin harus habis 2 botol, tapi pemakaian kedua ini malah makin parah jerawat di pipi makin banyak, padahal sebelumnya jerawat di pipi aku ga banyak cuma di kening banyak, tpi sekarang kening udah dikit tpi di pipi kanan kiri banyak bgt, ga recomend si ini malah makin parah gada perubahan wkwkw",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,75,459,Negatif
17285726857,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"Mungkin setiap org cok""kan,di aku ga ccok panas gatel jerawat muncul gede""banget awlnya dibagian dagu ga ada tapi skrng malah makin meradang pdhl udh berhnti pemakaian..jadi malah tambah ancur nih mukaa ga sembuh😭😭",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,33,214,Negatif
29322971421,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"kaget banget baru semingguan pakai langsung bintik2 semua keluar gatel merah2 , sebelumnya emang karena lagi ada close komedo gara2 susncreen .. kirain purging , cuma anehnya pas setiap pakai bsknya bintik2 keluar lagi.. mana pakai sampai leher 😭 dari muka sampai leher bintik2 gatal 😭😭 bingung banget skrg mau gimana 😭",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,52,319,Negatif
15251941065,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"bekas jerawat pie malah jadi bopeng 😢, bopeng kecilku jdi lebih jelas. pie tambah merah, kulit jadi kusam. kacau dah sumpah ga espek 😢. apes",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,25,140,Negatif
49838749614,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"Cocok untuk: dikulitku gak cocok | Tekstur: gel | Efek: memburuk | Sorry to say tp di kulitku ini sama sekali ga cocok. Jerawat yg awalnya sedikit dan kecil jadi banyak dan besar , meradang, dll intinya makin parah 😭😭 minggu2 awal kupakai udh kerasa kok tdk mmbaik dan sempat chat seller, tp okeylah sesuai saran , kusabar2 pake smpe 8 minggu tp makin parah ternyta. Skrg udh ak stop. Mudah2 an bs membaik kulitku 🙏",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,76,415,Negatif
22663562388,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,nurraz__,1,"Cocok untuk: wajah aku malah nambah jerawat an gais!😭 | Tekstur: gel | Jujur. Pdhl aku udh nyoba skintest dulu di leher gaada efek apa apa dalam satu minggu.tapi pas aku coba ke wajah pdhl baru dua hari jerawat ku malah nambah banyakkkk dan kemerahan 😭😭. Aku gaakan lanjut lagi, entah itu purging atau apa. Kapok kemakan sama marketing😭",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,59,336,Negatif
17135740725,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"gk ngaruh malah nambah jerawatan, buat yang mukanya berminyak dll jangan pake ini malah nambah jerawatan",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,16,104,Negatif
19768859463,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,vnxx10,1,Ternyata kemasan baru nya tidak sesuai dgn isi nya tertulis dikmsan 35 ml nyata ny in kira2 10 ml doang | Kemasan nya ada besar isi nya gongg😭🤣,FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,28,143,Negatif
34906521300,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"Efek: breakout | BENER2 SAKIT HATI DAN SEDIH BANGET, WAKTU ITU AKU NANYA SAMA HOST LIVE BUAT MUDARIN PIH DI SARANIN MOIST SERUM INI AKU GADA JERAWAT SAMA SEKALI DAN GADA BERUNTUSAN SAMA SEKALI AKU MINTA SARANIN BUAT ILANGIN PIH MALAH D SURUH PKE INI, DAN MUKA KU LANGSUNG BREAKOUT PARAH SAMPE DETIK INI WAKTU ITU AKU SEMPET CHAT ADMIN LEWAT SHOPEE KTNYA AKU HARUSNYA GA CO ITU TAPI CO YG ESSENCE KTNYA CS SUKA ADA MISKOM ANTARA CS SAMA HOST LIVE, AWALNYA KUPIKIR OH YA GAPAPA MASIH BISA DI BENERIN DAN AKU LGSG STOP MAKE DETIK ITU JUGA DAN SAMPE SEKARANG GA BERENTI2 JERAWAT DAN BERUNTUSAN BANGET MUKA KU DEMI APAPUN SAKIT HATI BANGET GAPERNAH RUSAK KAYAK BEGINI DAN CS CUMAN MINTA MAAF KARNA MISKOM DAN SALAH KASIH SARAN YG MUNGKIN BAGI MEREKA BIASA AJA TAPI DI AKU FATAL KRNA RUSAK MUKA KU, GILA DISINI AKU SAKIT HATI BANGET GAAKAN KU MAAFIN KAMU YA FOREBIE",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,156,859,Negatif
