id_komentar,produk_url,username,rating,ulasan,nama_produk,jumlah_kata,panjang_karakter,label_sentimen,ulasan_bersih,label_encoded
80408477470,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"Produk: Barang rusak | Sorry to say, perdana gue beli forebie satuan gini, malah dpt packaging cacat :( biasa beli paketan lgsg 3, tp mau rutinin pake forebie dng abisin per pcs dan nyetok dia krna yg cepet abis ya serum moist nya krna gue pake totolan juga klo lg ada jerawat. Yg bikin nyesek produknya ampe tumpah😓 giliran isinya udh mau abis dan coba buka malah gabisa, eh ini yg baru malah begitu tutupnya mau dibuka, kebuka sama pumpnya. Mau pengembalian dana pun udh lewat lama bgt dan kesalahan gue jg sih ga merhatiin lg saking percayanya :(",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,99,549,Negatif,produk barang rusak sorry to say perdana gue beli forebie satu gin malah dpt packaging cacat biasa beli paket lgsg tp mau rutinin pake forebie dng abisin per pcs nyetok krna yg cepet abis serum moist nya krna gue pake totol klo lg jerawat yg bikin nyesek produk ampe tumpah wajah keringat gilir isi udh mau abis coba buka malah gabisa eh yg baru malah tutup mau buka buka sama pumpnya mau kembali dana udh lewat lama bgt salah gue jg sih ga merhatiin lg saking percaya,0
16989422782,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"pertama kali make forebie beruntusan&jerawat mulai gada lagi nih, tapi pemakaian 2minggu mulai purging, sempet better tapi engga lama, setelah itu aku mutusin oh mungkin harus habis 2 botol, tapi pemakaian kedua ini malah makin parah jerawat di pipi makin banyak, padahal sebelumnya jerawat di pipi aku ga banyak cuma di kening banyak, tpi sekarang kening udah dikit tpi di pipi kanan kiri banyak bgt, ga recomend si ini malah makin parah gada perubahan wkwkw",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,75,459,Negatif,pertama kali make forebie beruntus jerawat mulai gada nih pakai minggu mulai purging sempet better engga lama aku mutusin mungkin habis botol pakai dua malah makin parah jerawat pipi makin banyak padahal belum jerawat pipi aku ga banyak cuma kening banyak tpi sekarang kening udah dikit tpi pipi kanan kiri banyak bgt ga recomend si malah makin parah gada ubah wkwkw,0
17285726857,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"Mungkin setiap org cok""kan,di aku ga ccok panas gatel jerawat muncul gede""banget awlnya dibagian dagu ga ada tapi skrng malah makin meradang pdhl udh berhnti pemakaian..jadi malah tambah ancur nih mukaa ga sembuh😭😭",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,33,214,Negatif,mungkin org cok kan aku ga ccok panas gatel jerawat muncul gede banget awlnya bagi dagu ga skrng malah makin radang pdhl udh berhnti pakai jadi malah tambah ancur nih mukaa ga sembuh wajah menang keras wajah menang keras,0
29322971421,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"kaget banget baru semingguan pakai langsung bintik2 semua keluar gatel merah2 , sebelumnya emang karena lagi ada close komedo gara2 susncreen .. kirain purging , cuma anehnya pas setiap pakai bsknya bintik2 keluar lagi.. mana pakai sampai leher 😭 dari muka sampai leher bintik2 gatal 😭😭 bingung banget skrg mau gimana 😭",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,52,319,Negatif,kaget banget baru minggu pakai langsung bintik semua keluar gatel merah belum emang close komedo gara susncreen kirain purging cuma aneh pas pakai bsknya bintik keluar mana pakai leher wajah menang keras muka leher bintik gatal wajah menang keras wajah menang keras bingung banget skrg mau gimana wajah menang keras,0
15251941065,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"bekas jerawat pie malah jadi bopeng 😢, bopeng kecilku jdi lebih jelas. pie tambah merah, kulit jadi kusam. kacau dah sumpah ga espek 😢. apes",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,25,140,Negatif,bekas jerawat pie malah jadi bopeng wajah menang bopeng kecil jdi lebih jelas pie tambah merah kulit jadi kusam kacau dah sumpah ga espek wajah menang apes,0
49838749614,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"Cocok untuk: dikulitku gak cocok | Tekstur: gel | Efek: memburuk | Sorry to say tp di kulitku ini sama sekali ga cocok. Jerawat yg awalnya sedikit dan kecil jadi banyak dan besar , meradang, dll intinya makin parah 😭😭 minggu2 awal kupakai udh kerasa kok tdk mmbaik dan sempat chat seller, tp okeylah sesuai saran , kusabar2 pake smpe 8 minggu tp makin parah ternyta. Skrg udh ak stop. Mudah2 an bs membaik kulitku 🙏",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,76,415,Negatif,cocok kulit gak cocok tekstur gel efek buruk sorry to say tp kulit sama sekali ga cocok jerawat yg awal sedikit kecil jadi banyak besar radang inti makin parah wajah menang keras wajah menang keras minggu awal pakai udh rasa kok tdk mmbaik sempat chat seller tp okeylah sesuai saran sabar pake smpe minggu tp makin parah ternyta skrg udh ak stop mudah an bs baik kulit lipat tangan,0
22663562388,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,nurraz__,1,"Cocok untuk: wajah aku malah nambah jerawat an gais!😭 | Tekstur: gel | Jujur. Pdhl aku udh nyoba skintest dulu di leher gaada efek apa apa dalam satu minggu.tapi pas aku coba ke wajah pdhl baru dua hari jerawat ku malah nambah banyakkkk dan kemerahan 😭😭. Aku gaakan lanjut lagi, entah itu purging atau apa. Kapok kemakan sama marketing😭",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,59,336,Negatif,cocok wajah aku malah nambah jerawat an gais wajah menang keras tekstur gel jujur pdhl aku udh nyoba skintest dulu leher gaada efek apa apa satu minggu pas aku coba wajah pdhl baru hari jerawat ku malah nambah banyakkkk merah wajah menang keras wajah menang keras aku gaakan lanjut entah purging apa kapok makan sama marketing wajah menang keras,0
17135740725,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,Anonim,1,"gk ngaruh malah nambah jerawatan, buat yang mukanya berminyak dll jangan pake ini malah nambah jerawatan",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,16,104,Negatif,gk ngaruh malah nambah jerawat buat muka minyak jangan pake malah nambah jerawat,0
19768859463,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,vnxx10,1,Ternyata kemasan baru nya tidak sesuai dgn isi nya tertulis dikmsan 35 ml nyata ny in kira2 10 ml doang | Kemasan nya ada besar isi nya gongg😭🤣,FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,28,143,Negatif,nyata kemas baru nya tidak sesuai dgn isi nya tulis dikmsan ml nyata ny in kira ml doang kemas nya besar isi nya gongg wajah menang keras tertawa bahak bahak,0
17252828977,https://shopee.co.id/FOREBIE-FIGHT-ACNE-MOIST-SERUM-Pelembab-Serum-(2-in-1)-untuk-Wajah-Berjerawat-i.806035446.14392136622?extraParams=%7B%22display_model_id%22%3A410421524133%2C%22model_selection_logic%22%3A3%7D,gazza.,1,"Cocok untuk: kulit yang tidak badak | Tekstur: terlalu kental | Ihh overclaim, padahal sudah beraharap 2%SA 5%Niacinamide",FOREBIE FIGHT ACNE MOIST SERUM Pelembab Serum (2 in 1) untuk Wajah Berjerawat,18,121,Negatif,cocok kulit tidak badak tekstur terlalu kental ihh overclaim padahal beraharap sa niacinamide,0
